number,state,stress,cat1,cat2,cat3,cat4
1,nm,60.52,21,4,1,6
2,nv,59.9,5,8,2,4
3,la,56.21,15,2,5,7
4,wv,55.28,34,7,9,1
5,ms,54.66,20,1,7,13
6,tn,53.37,12,10,29,3
7,ar,53.3,36,5,26,2
8,al,52.8,19,3,11,15
9,fl,51.33,8,22,3,32
10,or,51.21,42,9,6,8
11,ak,50.78,1,37,39,5
12,az,50.3,7,12,23,20
13,ga,50.23,6,15,24,17
14,tx,49.94,11,23,19,9
15,ok,49.19,39,11,17,10
16,wa,49,3,33,14,18
17,ca,48.95,9,19,12,25
18,ky,48.79,16,6,32,26
19,nc,48.19,13,20,13,27
20,co,47.38,2,32,28,24
21,mt,46.81,30,14,30,12
22,me,45.52,35,13,35,11
23,ny,45.33,24,38,4,39
24,mi,44.68,32,27,27,16
25,in,44.6,22,17,34,29
26,de,44.36,4,34,25,46
27,sc,44.03,10,26,37,30
28,oh,43.52,44,25,22,19
29,ri,42.62,41,28,8,38
30,vt,42.55,46,21,18,28
31,il,42.26,17,36,16,45
32,va,41.13,23,46,15,42
33,pa,41.08,29,30,31,36
34,ks,40.68,25,35,41,23
35,id,40.5,26,16,46,37
36,md,40.31,33,41,20,41
37,wy,40.15,37,29,44,14
38,mo,39.97,43,31,36,22
39,nj,39.46,14,49,38,35
40,ut,39.26,28,18,49,21
41,hi,39.09,27,24,40,49
42,ct,37.53,48,42,10,50
43,nd,37.38,18,45,47,33
44,wi,36.75,47,39,33,34
45,ma,36.71,45,43,21,47
46,ia,35.69,31,48,43,40
47,sd,32.66,38,44,50,31
48,nh,32.49,49,47,42,44
49,mn,32.32,40,50,48,43
50,ne,31.83,50,40,45,48